location_block,text_general_code,crime_type,crime_x,crime_y,lat,lng
7100 BLOCK LIMEKILN PK,Homicide - Criminal,Violent Crime,-75.15458051,40.06123614,40.06123613900007,-75.15458050899997
2500 BLOCK HARLAN ST,Homicide - Criminal,Violent Crime,-75.17657166,39.97712711,39.97712711400004,-75.17657165699995
2900 BLOCK RUTH ST,Homicide - Criminal,Violent Crime,-75.11918573,39.99266076,39.992660761000025,-75.11918572899998
3800 BLOCK MT PLEASANT DR,Homicide - Criminal,Violent Crime,-75.20026912,39.98462107,39.98462107100005,-75.20026912299994
800 BLOCK W ERIE AV,Homicide - Criminal,Violent Crime,-75.1418911,40.00796132,40.00796132100004,-75.14189109799997
4600 BLOCK WHITAKER AV,Homicide - Criminal,Violent Crime,-75.11492704,40.01907812,40.01907811600006,-75.11492703799996
1500 BLOCK PRATT ST,Homicide - Criminal,Violent Crime,-75.07886477,40.02275259,40.022752586000024,-75.07886477099999
400 BLOCK E HIGH ST,Homicide - Criminal,Violent Crime,-75.17202203,40.04497857,40.04497857400003,-75.17202202899995
1100 BLOCK E ERIE AV,Homicide - Criminal,Violent Crime,-75.10665618,40.00540099,40.00540098500005,-75.10665617599994
700 BLOCK E ONTARIO ST,Homicide - Criminal,Violent Crime,-75.11597291,40.0000362,40.000036203000036,-75.11597290499998
3600 BLOCK N 5TH ST,Homicide - Criminal,Violent Crime,-75.13717223,40.00624455,40.006244550000076,-75.13717223399993
5400 BLOCK N 5TH ST,Homicide - Criminal,Violent Crime,-75.13120001,40.03369117,40.03369117300008,-75.13120000599997
7400 BLOCK REVERE ST,Homicide - Criminal,Violent Crime,-75.04986229,40.04604562,40.04604562000003,-75.04986228599995
1900 BLOCK FEDERAL ST,Homicide - Criminal,Violent Crime,-75.17658479,39.93722427,39.93722426700003,-75.17658479299996
700 BLOCK POPLAR ST,Homicide - Criminal,Violent Crime,-75.14874423,39.96755316,39.967553157000054,-75.14874423399993
6800 BLOCK ALGON AV,Homicide - Criminal,Violent Crime,-75.07958602,40.04865051,40.04865050800004,-75.07958601799999
6400 BLOCK WOODLAND AV,Homicide - Criminal,Violent Crime,-75.23328669,39.92639939,39.926399391000075,-75.23328668799996
300 BLOCK E TIOGA ST,Homicide - Criminal,Violent Crime,-75.12351324,40.00248099,40.00248099000004,-75.12351324299993
2800 BLOCK KENSINGTON AV,Homicide - Criminal,Violent Crime,-75.12203823,39.99166568,39.991665683000065,-75.12203823299996
2300 BLOCK S MARSHALL ST,Homicide - Criminal,Violent Crime,-75.1579345,39.91937687,39.91937686800003,-75.15793450199999
400 BLOCK E INDIANA AVE,Homicide - Criminal,Violent Crime,-75.12267261,39.9945684,39.99456839800007,-75.12267261399995
2900 BLOCK N ORKNEY ST,Homicide - Criminal,Violent Crime,-75.13883014,39.99611639,39.99611639300008,-75.13883013499998
2200 BLOCK S 23RD ST,Homicide - Criminal,Violent Crime,-75.18475402,39.92495254,39.92495253900006,-75.18475402399997
5200 BLOCK MARKET ST,Homicide - Criminal,Violent Crime,-75.22607046,39.96023475,39.96023474700007,-75.22607046099995
1500 BLOCK GERMANTOWN AV,Homicide - Criminal,Violent Crime,-75.14177068,39.97389753,39.97389753300007,-75.14177067899993
1600 BLOCK S FRONT ST,Homicide - Criminal,Violent Crime,-75.14704308,39.92759723,39.927597228000025,-75.14704307799997
700 BLOCK W ERIE AV,Homicide - Criminal,Violent Crime,-75.14161849,40.00792733,40.007927332000065,-75.14161848899994
7600 BLOCK OGONTZ AV,Homicide - Criminal,Violent Crime,-75.15737147,40.070311,40.070311004000075,-75.15737147199997
100 BLOCK N DEWEY ST,Homicide - Criminal,Violent Crime,-75.24307938,39.96405686,39.96405685900004,-75.24307938199996
1300 BLOCK N 52ND ST,Homicide - Criminal,Violent Crime,-75.2260823,39.97316558,39.973165583000025,-75.22608229699995
1700 BLOCK MOORE ST,Homicide - Criminal,Violent Crime,-75.17459983,39.92881881,39.92881880600004,-75.17459983399993
1800 BLOCK E LIPPINCOTT ST,Homicide - Criminal,Violent Crime,-75.11357529,39.99487281,39.99487281300003,-75.11357529099996
1900 BLOCK W CHELTENHAM AV,Homicide - Criminal,Violent Crime,-75.14713085,40.06767855,40.067678552000075,-75.14713084699997
1900 BLOCK E TIOGA ST,Homicide - Criminal,Violent Crime,-75.10487518,39.99841828,39.998418284000024,-75.10487518399998
2000 BLOCK RIDGE AV,Homicide - Criminal,Violent Crime,-75.16884349,39.9761596,39.976159600000074,-75.16884348799994
0 BLOCK N 51ST ST,Homicide - Criminal,Violent Crime,-75.22282706,39.96037431,39.960374311000066,-75.22282706399994
200 BLOCK N 63RD ST,Homicide - Criminal,Violent Crime,-75.24596343,39.967035,39.96703499500006,-75.24596342799998
2900 BLOCK N HOWARD ST,Homicide - Criminal,Violent Crime,-75.13122842,39.99420534,39.99420533700004,-75.13122841699999
3200 BLOCK D ST,Homicide - Criminal,Violent Crime,-75.12116418,39.99824975,39.998249746000056,-75.12116417699997
3400 BLOCK CRYSTAL ST,Homicide - Criminal,Violent Crime,-75.11793886,40.00157041,40.001570413000024,-75.11793885999998
3700 BLOCK N 15TH ST,Homicide - Criminal,Violent Crime,-75.15282428,40.00996561,40.00996561100004,-75.15282427699998
3700 BLOCK KENSINGTON AV,Homicide - Criminal,Violent Crime,-75.10029568,40.00361681,40.003616805000036,-75.10029568499994
300 BLOCK N SIMPSON ST,Homicide - Criminal,Violent Crime,-75.24858786,39.96907309,39.96907308600004,-75.24858786099998
3900 BLOCK KENSINGTON AV,Homicide - Criminal,Violent Crime,-75.09665856,40.00561245,40.005612445000054,-75.09665856199996
3800 BLOCK CASTOR AV,Homicide - Criminal,Violent Crime,-75.09933826,40.00425644,40.00425643900007,-75.09933826299994
400 BLOCK E ROOSEVELT BLVD,Homicide - Criminal,Violent Crime,-75.11693012,40.02625137,40.026251374000026,-75.11693011999995
4300 BLOCK N BROAD ST,Homicide - Criminal,Violent Crime,-75.14913188,40.01929354,40.019293539000046,-75.14913187799993
4300 BLOCK BERMUDA ST,Homicide - Criminal,Violent Crime,-75.08221188,40.00412003,40.004120030000024,-75.08221187499998
4500 BLOCK TORRESDALE AV,Homicide - Criminal,Violent Crime,-75.08024908,40.00992804,40.009928036000076,-75.08024908299996
500 BLOCK W RUSCOMB ST,Homicide - Criminal,Violent Crime,-75.13296837,40.02730863,40.02730863200003,-75.13296836899997
5400 BLOCK GAINOR RD,Homicide - Criminal,Violent Crime,-75.23441817,39.98860083,39.98860083200003,-75.23441817399998
5400 BLOCK N 5TH ST,Homicide - Criminal,Violent Crime,-75.130964,40.03483116,40.034831162000046,-75.13096399699998
5800 BLOCK RISING SUN AV,Homicide - Criminal,Violent Crime,-75.10371291,40.04324251,40.04324251000003,-75.10371291199993
6500 BLOCK DITMAN ST,Homicide - Criminal,Violent Crime,-75.05072191,40.02358881,40.02358881300006,-75.05072190799996
6500 BLOCK GRAYS AV,Homicide - Criminal,Violent Crime,-75.23193094,39.92331672,39.923316717000034,-75.23193093999998
7000 BLOCK WHEELER ST,Homicide - Criminal,Violent Crime,-75.2389154,39.9175568,39.917556802000036,-75.23891540199998
7100 BLOCK JAMES ST,Homicide - Criminal,Violent Crime,-75.03540278,40.02479458,40.02479458200003,-75.03540278099996
700 BLOCK W LYCOMING ST,Homicide - Criminal,Violent Crime,-75.13992268,40.0139863,40.013986302000035,-75.13992268099997
